ndb_no,shrt_desc,water_g,energ_kcal,protein_g,lipid_tot_g,ash_g,carbohydrt_g,fiber_td_g,sugar_tot_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_ug,vit_c_mg,thiamin_mg,riboflavin_mg,niacin_mg,panto_acid_mg,vit_b6_mg,folate_tot_ug,folic_acid_ug,food_folate_ug,folate_dfe_ug,vit_b12_ug,vit_a_iu,vit_a_rae,retinol_ug,alpha_carot_ug,beta_carot_ug,beta_crypt_ug,lycopene_ug,lut_zea_ug,vit_e_mg,vit_d_ug,vit_d_iu,fa_sat_g,fa_mono_g,fa_poly_g,cholestrl_mg,gmwt_1,gmwt_desc1,refuse_pct,healthiness_score,health_category
13424,346,66.75,174,27.53,6.2,0.81,0.0,0.0,0.0,6.0,2.3,18.0,174.0,226.0,36.0,4.73,0.068,0.01,31.1,0.0,0.062,0.155,4.945,0.542,0.369,9.0,0.0,9.0,9.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.1,4.0,2.209,2.537,0.247,74.0,85.0,4,8.0,77.34032095527698,0
13425,348,65.62,176,27.68,6.42,1.12,0.0,0.0,0.0,6.0,2.43,19.0,174.0,225.0,36.0,4.81,0.065,0.009,31.4,0.0,0.058,0.173,5.319,0.544,0.386,9.0,0.0,9.0,9.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,2.288,2.626,0.236,76.0,85.0,4,7.0,77.36882325222679,0
13426,350,67.88,149,27.37,4.38,1.16,0.0,0.0,0.0,6.0,2.26,18.0,177.0,230.0,36.0,4.75,0.077,0.01,34.4,0.0,0.066,0.148,4.707,0.679,0.361,9.0,0.0,9.0,9.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,1.563,1.794,0.161,71.0,85.0,4,9.0,77.46015414183378,0
13428,371,57.9,209,35.62,6.31,1.72,0.0,0.0,0.0,4.0,3.27,25.0,223.0,330.0,45.0,4.5,0.122,0.018,32.7,0.0,0.07,0.25,3.76,0.37,0.28,9.0,0.0,9.0,9.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,4.0,2.25,2.51,0.27,90.0,85.0,4,2.0,80.14087017600829,0
13430,372,57.31,216,35.62,7.09,1.72,0.0,0.0,0.0,4.0,3.27,25.0,223.0,330.0,45.0,4.5,0.122,0.018,32.7,0.0,0.07,0.25,3.76,0.37,0.28,9.0,0.0,9.0,9.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.52,2.82,0.31,90.0,85.0,4,2.0,80.06939382762022,0
13439,188,60.38,211,30.5,8.91,1.37,0.0,0.0,0.0,13.0,3.24,18.0,257.0,350.0,57.0,4.21,0.092,0.009,25.2,0.0,0.062,0.395,5.61,0.356,0.687,7.0,0.0,7.0,7.0,4.1,22.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,3.0,3.525,3.98,0.613,93.0,85.0,4,1.0,77.96966579071372,0
13441,186,61.29,202,30.93,7.7,1.36,0.0,0.0,0.0,13.0,3.02,14.0,257.0,348.0,54.0,3.66,0.096,0.008,25.1,0.0,0.071,0.394,5.691,0.431,0.661,7.0,0.0,7.0,7.0,4.15,22.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,3.036,3.327,0.539,93.0,85.0,4,1.0,78.25618888110394,0
13451,445,60.33,212,29.33,9.67,1.26,0.0,0.0,0.0,22.0,1.89,25.0,229.0,368.0,61.0,5.33,0.089,0.01,31.9,0.0,0.079,0.141,7.807,0.578,0.614,9.0,0.0,9.0,9.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.2,7.0,3.754,3.959,0.359,88.0,85.0,4,4.0,77.497833648947,0
13452,446,59.68,219,29.02,10.54,1.22,0.0,0.0,0.0,19.0,1.96,24.0,218.0,355.0,58.0,5.21,0.095,0.01,31.5,0.0,0.072,0.128,7.87,0.571,0.578,9.0,0.0,9.0,9.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,4.09,4.314,0.391,89.0,85.0,4,3.0,77.30299441778543,0
13453,447,60.97,206,29.65,8.8,1.3,0.0,0.0,0.0,24.0,1.83,26.0,239.0,381.0,63.0,5.44,0.082,0.01,32.4,0.0,0.086,0.155,7.744,0.585,0.65,9.0,0.0,9.0,9.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,3.417,3.604,0.327,87.0,85.0,4,4.0,77.69823215164986,0
13454,452,62.98,183,30.55,5.79,1.31,0.0,0.0,0.0,20.0,1.96,26.0,244.0,393.0,64.0,5.71,0.091,0.011,35.8,0.0,0.083,0.155,8.741,0.601,0.656,10.0,0.0,10.0,10.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.1,4.0,2.205,2.31,0.213,82.0,85.0,4,10.0,78.3438135896834,0
13455,453,62.38,188,30.29,6.55,1.27,0.0,0.0,0.0,17.0,2.07,26.0,237.0,380.0,63.0,5.75,0.097,0.011,35.1,0.0,0.08,0.155,8.937,0.595,0.63,10.0,0.0,10.0,10.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2.495,2.615,0.241,83.0,85.0,4,10.0,78.1752705953362,0
13456,454,63.58,177,30.8,5.03,1.35,0.0,0.0,0.0,22.0,1.92,27.0,253.0,410.0,66.0,5.7,0.085,0.011,38.9,0.0,0.088,0.163,9.001,0.607,0.681,10.0,0.0,10.0,10.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,1.915,2.006,0.185,81.0,85.0,4,10.0,78.50706203970554,0
13459,415,54.66,276,23.96,19.27,1.17,0.0,0.0,0.0,7.0,2.94,22.0,193.0,299.0,65.0,4.56,0.13,0.015,19.6,0.0,0.099,0.228,4.21,0.314,0.365,7.0,0.0,7.0,7.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,7.271,8.65,0.69,67.0,85.0,6,21.0,74.70134357886488,0
13463,416,55.69,267,24.47,17.98,1.29,0.0,0.0,0.0,7.0,2.91,22.0,191.0,330.0,65.0,4.51,0.128,0.015,19.6,0.0,0.098,0.226,4.171,0.312,0.361,7.0,0.0,7.0,7.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,7.04,7.739,0.711,64.0,85.0,7,20.0,74.94780461719562,0
13464,410,70.32,155,22.32,6.6,1.02,0.0,0.0,0.0,18.0,2.07,11.0,206.0,274.0,51.0,3.58,0.065,0.003,22.0,0.0,0.054,0.257,5.377,0.433,0.689,3.0,0.0,3.0,3.0,1.95,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,0.1,3.0,2.557,2.84,0.353,58.0,85.0,4,35.0,75.41098900323144,0
13465,409,61.05,213,28.16,10.32,1.05,0.0,0.0,0.0,19.0,3.22,23.0,224.0,291.0,68.0,4.67,0.073,0.004,28.2,0.0,0.059,0.26,6.033,0.433,0.692,7.0,0.0,7.0,7.0,2.16,22.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.24,0.1,3.0,4.026,4.516,0.513,82.0,85.0,4,38.0,77.01108854066474,0
13466,406,60.38,212,26.07,11.18,1.28,0.0,0.0,0.0,6.0,3.24,25.0,211.0,328.0,69.0,5.06,0.143,0.016,20.0,0.0,0.11,0.25,4.63,0.34,0.4,8.0,0.0,8.0,8.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,3.912,5.192,0.379,62.0,85.0,6,32.0,76.33709304808681,0
13467,407,59.13,224,25.51,12.8,1.17,0.0,0.0,0.0,6.0,3.24,25.0,211.0,301.0,69.0,5.06,0.143,0.016,20.0,0.0,0.11,0.25,4.63,0.34,0.4,8.0,0.0,8.0,8.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,4.345,6.175,0.385,91.0,85.0,4,31.0,75.97362258017263,0
13468,414,71.46,145,22.61,5.41,1.03,0.0,0.0,0.0,19.0,2.26,11.0,200.0,266.0,43.0,3.52,0.075,0.003,21.4,0.0,0.085,0.23,5.325,0.433,0.751,4.0,0.0,4.0,4.0,1.98,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,2.0,2.051,2.15,0.285,57.0,85.0,4,37.0,75.6631857979143,0
13469,413,62.16,203,28.92,8.76,1.1,0.0,0.0,0.0,20.0,3.44,23.0,227.0,292.0,67.0,4.8,0.076,0.003,27.7,0.0,0.085,0.255,5.745,0.433,0.628,7.0,0.0,7.0,7.0,2.19,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,3.0,3.454,3.738,0.429,78.0,85.0,4,40.0,77.43959366137153,0
13470,408,62.19,194,26.89,8.81,1.44,0.0,0.0,0.0,6.0,3.24,25.0,211.0,367.0,69.0,5.06,0.143,0.016,20.0,0.0,0.11,0.25,4.63,0.34,0.4,8.0,0.0,8.0,8.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,3.28,3.76,0.37,84.0,85.0,4,32.0,76.75500908014351,0
13473,426,57.78,247,24.18,15.93,1.1,0.0,0.0,0.0,5.0,3.35,24.0,199.0,302.0,67.0,4.67,0.131,0.015,10.9,0.0,0.101,0.231,4.268,0.309,0.361,7.0,0.0,7.0,7.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,6.074,7.205,0.617,60.0,85.0,6,22.0,75.10469961402771,0
13474,170,56.97,258,24.05,17.26,1.08,0.0,0.0,0.0,5.0,3.33,24.0,197.0,300.0,67.0,4.64,0.131,0.015,10.9,0.0,0.1,0.23,4.242,0.307,0.359,7.0,0.0,7.0,7.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,6.449,7.896,0.615,61.0,85.0,6,23.0,74.95777600900777,0
13477,427,58.97,230,24.38,14.0,1.12,0.0,0.0,0.0,5.0,3.38,24.0,200.0,305.0,68.0,4.72,0.133,0.015,10.8,0.0,0.102,0.233,4.305,0.311,0.364,7.0,0.0,7.0,7.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,5.527,6.197,0.62,59.0,85.0,6,21.0,75.32009932565153,0
13478,418,70.73,153,22.22,6.5,1.01,0.0,0.0,0.0,21.0,1.66,11.0,200.0,267.0,42.0,3.88,0.058,0.003,22.8,0.0,0.054,0.215,5.751,0.358,0.638,4.0,0.0,4.0,4.0,1.81,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,0.1,3.0,2.53,2.767,0.344,59.0,85.0,4,39.0,75.39695846077007,0
13479,400,61.15,212,27.86,10.37,1.05,0.0,0.0,0.0,18.0,3.57,21.0,219.0,290.0,67.0,4.61,0.073,0.004,29.3,0.0,0.058,0.254,6.109,0.323,0.757,7.0,0.0,7.0,7.0,1.96,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.23,0.1,3.0,4.219,4.609,0.542,82.0,85.0,6,43.0,76.85587014953558,0
13481,424,62.5,198,25.98,9.61,1.17,0.0,0.0,0.0,4.0,3.66,26.0,215.0,327.0,71.0,5.11,0.143,0.016,10.0,0.0,0.11,0.25,4.63,0.33,0.39,8.0,0.0,8.0,8.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,3.27,4.645,0.32,83.0,85.0,4,32.0,76.43468914847843,0
13482,420,71.86,144,22.41,5.34,1.02,0.0,0.0,0.0,23.0,1.77,12.0,214.0,284.0,57.0,4.01,0.054,0.002,21.8,0.0,0.058,0.2,5.73,0.375,0.644,4.0,0.0,4.0,4.0,1.84,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,2.0,2.152,2.282,0.298,59.0,85.0,4,41.0,75.53761685500537,0
13483,402,61.98,206,28.45,9.35,1.09,0.0,0.0,0.0,18.0,3.65,24.0,234.0,304.0,66.0,4.47,0.063,0.004,28.5,0.0,0.061,0.23,5.835,0.374,0.754,7.0,0.0,7.0,7.0,2.07,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.24,0.1,3.0,3.648,3.785,0.48,83.0,85.0,4,44.0,77.21528146680055,0
13484,425,63.73,177,26.0,7.36,1.2,0.0,0.0,0.0,4.0,3.66,26.0,215.0,327.0,71.0,5.11,0.143,0.016,10.0,0.0,0.11,0.25,4.63,0.33,0.39,8.0,0.0,8.0,8.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,2.82,3.34,0.38,80.0,85.0,4,29.0,76.56617033255033,0
13485,26,59.92,198,33.9,5.92,0.98,0.0,0.0,0.0,17.0,2.87,23.0,214.0,279.0,56.0,8.38,0.112,0.012,39.2,0.0,0.072,0.208,4.906,0.668,0.314,11.0,0.0,11.0,11.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,2.241,2.521,0.207,102.0,85.0,4,1.0,79.49555346519101,0
13486,339,72.01,151,20.48,7.01,1.0,0.0,0.0,0.0,19.0,1.69,22.0,194.0,318.0,55.0,3.72,0.088,0.012,24.2,0.0,0.081,0.125,6.119,0.589,0.607,11.0,0.0,11.0,11.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.778,3.011,0.276,62.0,85.0,4,4.0,74.68890139970102,0
13487,341,71.4,156,20.16,7.73,0.99,0.0,0.0,0.0,15.0,1.78,21.0,191.0,309.0,51.0,3.68,0.089,0.012,24.2,0.0,0.077,0.139,6.127,0.589,0.595,11.0,0.0,11.0,11.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3.066,3.324,0.305,63.0,85.0,4,4.0,74.50500422681121,0
13488,343,72.62,145,20.8,6.28,1.01,0.0,0.0,0.0,23.0,1.59,22.0,196.0,327.0,58.0,3.75,0.087,0.012,24.1,0.0,0.085,0.111,6.107,0.589,0.618,11.0,0.0,11.0,11.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,2.489,2.699,0.247,61.0,85.0,4,3.0,74.87482814791545,0
13490,263,63.87,182,29.93,6.05,1.19,0.0,0.0,0.0,21.0,1.84,26.0,242.0,392.0,63.0,5.46,0.081,0.011,37.3,0.0,0.085,0.159,8.748,0.59,0.661,10.0,0.0,10.0,11.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,2.305,2.416,0.223,95.0,85.0,4,18.0,78.07732152532292,0
13494,131,55.78,263,25.56,17.86,1.04,0.0,0.0,0.0,41.0,2.48,20.0,202.0,328.0,96.0,5.95,0.074,0.012,21.6,0.0,0.047,0.191,4.859,0.807,0.428,13.0,0.0,13.0,13.0,2.8,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,2.0,6.942,8.37,0.466,89.0,85.0,4,0.0,75.25965327794063,0
13495,132,58.37,241,23.87,15.37,0.88,0.0,0.0,0.0,33.0,2.27,17.0,166.0,241.0,73.0,5.84,0.079,0.009,19.1,0.0,0.051,0.171,4.026,0.512,0.311,7.0,0.0,7.0,7.0,2.49,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,2.0,6.073,7.322,0.408,88.0,85.0,4,0.0,74.9355389228426,0
13496,133,59.36,238,22.86,15.54,1.04,0.0,0.0,0.0,37.0,2.41,20.0,194.0,308.0,92.0,5.82,0.066,0.012,19.2,0.0,0.043,0.177,5.034,0.593,0.332,10.0,0.0,10.0,10.0,2.79,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,2.0,6.075,7.325,0.408,84.0,85.0,4,0.0,74.55203742889867,0
13497,134,55.85,277,25.38,18.66,0.97,0.0,0.0,0.0,35.0,2.25,19.0,185.0,275.0,81.0,6.14,0.069,0.009,21.5,0.0,0.051,0.176,4.537,0.658,0.336,11.0,0.0,11.0,11.0,2.9,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,2.0,7.344,8.855,0.493,88.0,85.0,4,0.0,75.11793597484032,0
13499,55,70.62,157,19.71,8.54,0.92,0.21,0.0,0.0,11.0,2.43,20.0,186.0,329.0,77.0,7.76,0.078,0.014,21.5,0.0,0.08,0.19,3.34,0.74,0.43,3.0,0.0,3.0,3.0,3.32,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,4.0,3.449,4.048,0.452,68.0,85.0,4,6.0,74.19006708187659,0
13519,395,72.42,139,20.36,6.42,1.1,0.0,0.0,0.0,12.0,2.51,20.0,203.0,338.0,83.0,7.63,0.096,0.011,22.9,0.0,0.095,0.26,3.89,0.945,0.407,3.0,0.0,3.0,3.0,4.38,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,4.0,2.73,3.29,0.36,69.0,85.0,4,16.0,74.59748226768863,0
13520,396,71.79,143,20.35,6.88,1.0,0.0,0.0,0.0,12.0,2.52,19.0,202.0,340.0,82.0,7.65,0.095,0.01,22.5,0.0,0.08,0.25,3.827,0.88,0.418,3.0,0.0,3.0,3.0,4.35,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,4.0,2.9,3.57,0.37,68.0,85.0,4,17.0,74.55247864092577,0
13523,397,73.35,133,20.39,5.73,1.25,0.0,0.0,0.0,12.0,2.51,20.0,211.0,346.0,87.0,7.9,0.099,0.011,23.8,0.0,0.11,0.28,4.15,1.01,0.392,3.0,0.0,3.0,3.0,4.42,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,3.0,2.472,2.88,0.375,71.0,85.0,4,15.0,74.66578188948168,0
13595,17,72.7,132,21.47,5.11,1.03,0.0,0.0,0.0,13.0,2.06,24.0,222.0,362.0,83.0,5.21,0.07,0.002,24.6,0.0,0.075,0.165,6.353,0.725,0.622,3.0,0.0,3.0,3.0,1.81,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,4.0,1.844,2.728,0.253,67.0,85.0,4,10.0,75.22735655755787,0
13596,16,72.21,137,21.28,5.75,1.0,0.0,0.0,0.0,13.0,2.04,24.0,224.0,367.0,82.0,5.15,0.073,0.002,22.9,0.0,0.07,0.165,6.452,0.68,0.617,3.0,0.0,3.0,3.0,1.73,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,4.0,1.993,2.96,0.262,67.0,85.0,4,9.0,75.12261282232744,0
13597,21,73.43,124,21.74,4.14,1.07,0.0,0.0,0.0,13.0,2.08,24.0,218.0,353.0,85.0,5.3,0.066,0.002,27.1,0.0,0.08,0.165,6.205,0.77,0.63,3.0,0.0,3.0,3.0,1.95,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.11,0.1,3.0,1.58,2.3,0.23,69.0,85.0,4,10.0,75.3854869480658,0
13647,382,73.17,123,21.64,4.09,1.13,0.0,0.0,0.0,12.0,2.64,25.0,236.0,399.0,73.0,6.86,0.074,0.013,24.1,0.0,0.09,0.212,4.618,0.795,0.583,3.0,0.0,3.0,3.0,2.76,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,1.0,1.653,2.086,0.296,65.0,85.0,4,7.0,75.35910246884602,0
13648,383,72.95,125,21.45,4.35,1.14,0.11,0.0,0.0,12.0,2.69,25.0,237.0,408.0,74.0,6.81,0.071,0.014,24.1,0.0,0.09,0.21,4.593,0.77,0.57,4.0,0.0,4.0,4.0,2.69,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.0,1.709,2.199,0.297,64.0,85.0,4,7.0,75.27721351661869,0
13649,384,73.51,121,21.93,3.7,1.12,0.0,0.0,0.0,12.0,2.57,26.0,235.0,386.0,71.0,6.95,0.077,0.013,24.1,0.0,0.09,0.215,4.655,0.82,0.601,4.0,0.0,4.0,4.0,2.86,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,1.0,1.53,1.85,0.28,68.0,85.0,4,7.0,75.49226025862083,0
13786,66,68.8,180,19.18,11.48,0.97,0.0,0.0,0.0,17.0,2.08,19.0,189.0,332.0,81.0,7.52,0.061,0.01,20.6,0.0,0.066,0.145,4.324,0.614,0.383,3.0,0.0,3.0,3.0,2.73,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.19,0.1,4.0,4.88,5.64,0.9,69.0,85.0,4,8.0,73.61534429539321,0
13788,68,68.26,185,19.14,12.02,0.98,0.0,0.0,0.0,17.0,2.08,19.0,186.0,310.0,80.0,7.54,0.059,0.009,20.0,0.0,0.061,0.141,4.323,0.553,0.365,3.0,0.0,3.0,3.0,2.69,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.21,0.1,4.0,5.072,5.908,0.933,67.0,85.0,4,9.0,73.55569242933106,0
13791,69,69.61,173,19.25,10.67,0.95,0.0,0.0,0.0,18.0,2.12,19.0,187.0,367.0,82.0,7.66,0.066,0.01,22.4,0.0,0.07,0.155,4.56,0.675,0.414,3.0,0.0,3.0,3.0,2.78,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,4.0,2.94,6.54,1.04,73.0,85.0,4,6.0,74.14479872789748,0
13798,113,52.03,301,26.21,20.91,1.08,0.0,0.0,0.0,9.0,2.66,23.0,206.0,317.0,62.0,5.93,0.111,0.015,23.9,0.0,0.09,0.22,3.7,0.35,0.33,7.0,0.0,7.0,7.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,8.24,8.97,0.75,87.0,85.0,4,13.0,75.20900213723105,0
13800,115,53.73,278,26.63,18.21,1.09,0.0,0.0,0.0,9.0,2.7,23.0,209.0,321.0,63.0,6.07,0.113,0.015,20.7,0.0,0.09,0.22,3.74,0.36,0.34,8.0,0.0,8.0,8.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,7.2,7.81,0.66,86.0,85.0,4,13.0,75.63256568323446,0
13802,114,52.87,299,26.22,20.75,1.1,0.0,0.0,0.0,9.0,2.5,24.0,203.0,356.0,63.0,5.62,0.104,0.015,19.8,0.0,0.09,0.21,4.39,0.38,0.37,8.0,0.0,8.0,8.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,8.32,8.84,0.75,83.0,85.0,4,12.0,75.19664820047262,0
13856,270,62.0,246,19.56,18.0,0.89,0.0,0.0,0.0,22.0,1.4,20.0,180.0,297.0,49.0,3.28,0.067,0.009,22.4,0.0,0.07,0.106,5.228,0.554,0.54,10.0,0.0,10.0,10.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,7.264,7.708,0.685,85.0,85.0,4,5.0,73.1466006378161,0
13857,269,54.36,278,27.17,18.0,1.06,0.0,0.0,0.0,22.0,1.67,23.0,219.0,349.0,58.0,4.97,0.075,0.009,29.6,0.0,0.079,0.142,7.098,0.536,0.595,8.0,0.0,8.0,8.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,7.088,7.502,0.667,103.0,85.0,4,7.0,75.83164054985608,0
13863,398,71.89,146,20.16,7.25,1.09,0.0,0.0,0.0,12.0,2.49,19.0,201.0,335.0,82.0,7.55,0.095,0.01,22.6,0.0,0.095,0.256,3.865,0.936,0.404,3.0,0.0,3.0,3.0,4.33,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,4.0,2.982,3.567,0.698,69.0,85.0,4,15.0,74.46194193296753,0
13867,327,58.49,218,27.58,11.08,1.33,0.0,0.0,0.0,6.0,2.56,26.0,240.0,395.0,62.0,4.36,0.101,0.015,27.4,0.0,0.1,0.21,4.02,0.39,0.38,9.0,0.0,9.0,9.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,4.23,4.76,0.44,79.0,85.0,4,8.0,76.76824544095612,0
13870,287,61.6,218,26.41,11.64,1.05,0.0,0.0,0.0,6.0,2.16,17.0,164.0,214.0,35.0,4.43,0.063,0.009,27.0,0.0,0.061,0.141,4.616,0.521,0.347,8.0,0.0,8.0,8.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,4.418,4.964,0.449,85.0,85.0,4,2.0,76.34256407722269,0
13872,294,54.27,254,32.85,12.56,0.95,0.0,0.0,0.0,7.0,2.7,21.0,199.0,263.0,42.0,5.4,0.071,0.011,34.4,0.0,0.068,0.185,5.939,0.647,0.432,10.0,0.0,10.0,10.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,4.766,5.355,0.484,101.0,85.0,4,5.0,78.4829718630266,0
13873,288,61.09,223,26.05,12.44,1.01,0.0,0.0,0.0,6.0,2.15,17.0,159.0,210.0,34.0,4.31,0.057,0.009,27.4,0.0,0.054,0.146,4.71,0.513,0.342,8.0,0.0,8.0,8.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,4.721,5.304,0.479,86.0,85.0,4,2.0,76.13528266689727,0
13874,296,67.44,187,20.68,10.93,0.99,0.0,0.0,0.0,23.0,1.63,22.0,201.0,335.0,60.0,3.85,0.089,0.013,24.7,0.0,0.084,0.11,6.071,0.586,0.615,11.0,0.0,11.0,11.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,4.303,4.723,0.417,72.0,85.0,4,3.0,74.32931359762522,0
13875,295,55.67,240,32.67,11.19,1.01,0.0,0.0,0.0,8.0,2.64,22.0,208.0,269.0,43.0,5.58,0.085,0.012,32.6,0.0,0.082,0.164,5.512,0.645,0.429,10.0,0.0,10.0,10.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,4.247,4.772,0.431,98.0,85.0,4,3.0,78.56036045257764,0
13876,289,62.1,212,26.77,10.85,1.08,0.0,0.0,0.0,7.0,2.16,18.0,170.0,219.0,35.0,4.56,0.069,0.01,26.6,0.0,0.067,0.134,4.517,0.528,0.352,8.0,0.0,8.0,8.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,4.116,4.625,0.418,84.0,85.0,4,2.0,76.5513456084402,0
13878,324,61.97,208,28.31,9.65,1.1,0.0,0.0,0.0,7.0,2.29,18.0,174.0,227.0,37.0,4.7,0.067,0.01,28.7,0.0,0.065,0.151,4.947,0.558,0.372,9.0,0.0,9.0,9.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.2,6.0,3.664,4.117,0.392,84.0,85.0,4,1.0,77.21104583134051,0
13880,325,61.36,212,28.48,10.05,1.06,0.0,0.0,0.0,6.0,2.33,18.0,171.0,227.0,37.0,4.65,0.061,0.01,29.6,0.0,0.059,0.16,5.149,0.561,0.374,9.0,0.0,9.0,9.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,3.813,4.285,0.387,86.0,85.0,4,1.0,77.22807661558608,0
